application_id,customer_id,issue_date,snapshot_date,days_since_issue,loan_amount,down_payment,interest_rate,term_months,vehicle_age,vehicle_price,mileage_at_issue,vehicle_brand,customer_age,customer_income,employment_type,employment_length_years,credit_history_length,num_past_default,num_open_loans,num_delinquencies_6m,credit_utilization,own_property,marital_status,address_region,channel,previous_bank_customer,debt_to_income_ratio,default
1,103,2024-11-10,2025-10-19,343,997076.09,234535.55,13.38,60,9,1231611.64,134711.0,BMW,37,61407.1,salaried,13.0,12.0,0,1,1,0.76,0,divorced,Kazan,dealer,0,1.35,0
2,436,2024-01-23,2025-10-19,635,530901.03,111017.7,11.88,72,4,641918.73,61219.0,,43,92853.65,salaried,,0.0,0,5,0,0.76,1,married,SPB,dealer,0,0.48,0
3,271,2025-02-03,2025-10-19,258,1515477.91,297618.12,12.61,24,5,1813096.03,72306.0,Kia,54,47637.67,self_employed,13.0,2.0,0,4,0,0.48,1,divorced,,online,0,2.65,0
4,107,2025-08-24,2025-10-19,56,946936.51,159186.69,11.67,36,4,1106123.2,52011.0,Volkswagen,61,59541.56,salaried,15.0,6.0,0,4,0,0.21,1,single,SPB,online,1,1.33,0
5,72,2025-09-08,2025-10-19,41,725924.42,189415.22,12.41,60,6,915339.64,97328.0,Lada,61,113112.07,self_employed,14.0,0.0,0,3,0,0.58,1,married,Yekaterinburg,branch,1,0.53,0
6,21,2024-04-19,2025-10-19,548,1204816.03,195004.2,15.69,48,1,1399820.22,12611.0,BMW,25,56136.27,salaried,18.0,10.0,0,3,1,0.44,1,married,Other,online,1,1.79,0
7,615,2025-04-09,2025-10-19,193,1128246.4,170129.3,10.84,48,4,1298375.7,61445.0,Mercedes,35,101567.62,salaried,8.0,1.0,0,5,0,0.22,0,married,Novosibirsk,branch,1,0.93,0
8,122,2024-08-28,2025-10-19,417,1446931.49,317739.07,11.62,48,9,1764670.57,138510.0,Toyota,23,28424.7,salaried,4.0,1.0,0,5,0,0.98,0,married,SPB,branch,1,3.0,0
9,467,2024-07-04,2025-10-19,472,1467723.25,226886.78,10.49,48,2,1694610.03,31544.0,Volkswagen,39,116252.18,salaried,4.0,3.0,0,1,0,0.43,1,married,Yekaterinburg,online,0,1.05,0
10,215,2025-07-23,2025-10-19,88,1228686.13,366476.78,10.06,72,8,1595162.91,116457.0,Mercedes,48,48244.2,salaried,10.0,14.0,0,0,1,0.66,0,married,SPB,branch,0,2.12,0
11,331,2025-06-06,2025-10-19,135,934555.22,190910.71,12.63,72,5,1125465.93,80799.0,Mercedes,23,58090.16,salaried,19.0,11.0,0,1,0,0.54,1,single,Moscow,dealer,0,1.34,0
12,459,2024-02-02,2025-10-19,625,1286082.38,274611.78,11.76,60,9,1560694.16,137568.0,Volkswagen,58,97008.56,salaried,3.0,2.0,0,5,0,0.23,0,single,Moscow,dealer,1,1.1,1
13,88,2024-12-05,2025-10-19,318,1249558.31,209490.67,16.52,36,2,1459048.99,30994.0,Hyundai,24,86760.2,salaried,19.0,2.0,0,0,1,0.15,1,single,,online,1,1.2,0
14,373,2024-08-08,2025-10-19,437,1370681.0,258372.96,12.43,60,6,1629053.96,90878.0,Kia,44,102374.69,salaried,17.0,9.0,0,1,1,0.66,1,divorced,Moscow,online,1,1.12,0
15,100,2025-05-15,2025-10-19,157,937557.99,166173.74,15.58,24,3,1103731.73,53411.0,Volkswagen,51,48043.43,salaried,2.0,4.0,0,2,0,0.32,0,divorced,,online,0,1.63,0
16,664,2024-08-12,2025-10-19,433,1079888.14,188885.88,14.94,36,2,1268774.02,26350.0,Hyundai,31,72829.86,salaried,3.0,2.0,0,2,0,0.32,1,single,Moscow,online,1,1.24,0
17,131,2025-05-26,2025-10-19,146,1352813.43,302210.77,12.58,60,7,1655024.21,107076.0,Toyota,57,64573.04,contract,13.0,10.0,0,0,0,0.96,1,single,SPB,online,0,1.75,1
18,662,2024-09-11,2025-10-19,403,1574198.12,292360.82,17.22,36,3,1866558.94,42357.0,Volkswagen,21,52245.28,salaried,6.0,6.0,0,3,0,0.52,0,divorced,Novosibirsk,dealer,1,2.51,0
19,309,2025-08-15,2025-10-19,65,1489776.6,348830.38,13.54,36,0,1838606.98,0.0,Hyundai,29,94897.44,self_employed,7.0,4.0,0,0,0,0.13,1,single,Moscow,online,1,1.31,0
20,344,2024-05-20,2025-10-19,517,1224616.46,378082.41,16.03,36,5,1602698.87,65186.0,Mercedes,37,103576.29,salaried,15.0,3.0,0,1,0,0.41,0,single,Yekaterinburg,online,0,0.99,0
21,492,2024-06-20,2025-10-19,486,1053781.49,195979.24,15.79,60,9,1249760.73,129927.0,Volkswagen,21,71578.34,self_employed,19.0,,0,4,1,0.63,1,single,Novosibirsk,online,0,1.23,0
22,414,2025-01-21,2025-10-19,271,1321146.17,271845.01,13.83,48,0,1592991.18,0.0,Volkswagen,23,,salaried,14.0,2.0,0,2,0,0.4,0,single,Kazan,online,1,0.93,0
23,386,2025-07-29,2025-10-19,82,872582.87,193490.68,14.5,48,4,1066073.55,70865.0,Volkswagen,46,60357.49,contract,6.0,14.0,0,4,0,0.12,0,married,Kazan,online,1,1.2,0
24,192,2024-07-27,2025-10-19,449,954899.57,281555.15,14.25,36,6,1236454.72,93492.0,Mercedes,51,117461.68,salaried,16.0,11.0,0,2,0,0.5,1,married,Moscow,branch,0,0.68,0
25,277,2025-03-17,2025-10-19,216,1652931.39,326453.89,10.71,60,5,1979385.28,78942.0,Volkswagen,46,94055.98,self_employed,11.0,3.0,1,1,0,0.2,1,married,SPB,branch,1,1.46,0
26,161,2025-03-03,2025-10-19,230,1320610.34,222671.22,13.11,60,1,1543281.57,11815.0,Lada,43,49410.82,salaried,17.0,13.0,0,2,0,0.66,0,divorced,,online,1,2.23,0
27,460,2024-06-23,2025-10-19,483,1095741.98,155831.37,15.15,36,3,1251573.35,45307.0,Kia,50,129538.11,salaried,13.0,14.0,0,0,0,0.66,1,single,SPB,online,0,0.7,1
28,314,2024-11-19,2025-10-19,334,1448741.61,286849.12,16.05,48,1,1735590.73,26531.0,Mercedes,30,68888.06,salaried,14.0,11.0,0,4,0,0.13,1,single,Other,branch,0,1.75,1
29,22,2025-07-02,2025-10-19,109,1586092.49,294799.49,11.56,36,0,1880891.98,0.0,Volkswagen,28,110127.94,salaried,14.0,1.0,0,5,0,0.36,1,married,Kazan,online,1,1.2,0
30,253,2024-11-11,2025-10-19,342,1066608.73,313822.21,14.06,72,2,1380430.94,32281.0,BMW,64,83641.23,salaried,4.0,0.0,0,4,1,0.47,1,married,Yekaterinburg,online,1,1.06,0
31,561,2025-04-26,2025-10-19,176,1071777.62,302848.64,13.3,48,2,1374626.26,38056.0,Toyota,45,89361.03,salaried,15.0,2.0,0,1,0,0.6,1,single,Kazan,dealer,0,1.0,0
32,475,2025-04-01,2025-10-19,201,1034206.27,155122.61,12.76,72,6,1189328.88,94830.0,Lada,42,,salaried,4.0,10.0,0,5,1,0.37,1,single,Moscow,branch,0,0.84,1
33,59,2025-03-30,2025-10-19,203,1489155.1,262293.01,13.71,36,0,1751448.11,9008.0,Toyota,35,101146.28,contract,1.0,1.0,2,4,0,0.36,1,single,Kazan,branch,0,1.23,0
34,511,2024-12-12,2025-10-19,311,1492067.23,302101.95,13.44,60,8,1794169.19,121064.0,Mercedes,61,71446.34,salaried,19.0,0.0,1,1,0,0.98,1,married,Yekaterinburg,dealer,1,1.74,0
35,682,2024-05-06,2025-10-19,531,1615771.0,393015.52,14.08,60,5,2008786.52,78017.0,Mercedes,30,93291.64,self_employed,8.0,0.0,0,3,2,0.14,0,single,Moscow,branch,0,1.44,0
36,476,2024-08-13,2025-10-19,432,1502580.88,303366.83,15.88,48,3,1805947.72,45549.0,Kia,40,91415.0,salaried,8.0,1.0,3,0,0,0.99,0,married,,dealer,1,1.37,1
37,700,2024-02-07,2025-10-19,620,710334.58,109704.88,14.57,72,2,820039.46,32667.0,Lada,61,85339.03,salaried,3.0,12.0,0,2,0,0.14,0,single,Kazan,dealer,1,0.69,0
38,190,2025-02-10,2025-10-19,251,1284289.3,253913.77,13.62,36,2,1538203.07,25424.0,Toyota,43,74917.09,contract,14.0,12.0,0,2,0,0.36,0,married,Moscow,online,1,1.43,0
39,687,2025-04-24,2025-10-19,178,882484.38,145072.63,16.73,36,1,1027557.01,18962.0,Lada,21,85289.12,self_employed,,,0,2,0,0.54,0,single,Kazan,dealer,1,0.86,0
40,563,2024-09-02,2025-10-19,412,1046125.69,239349.0,15.22,48,1,1285474.69,16471.0,Hyundai,22,129188.52,self_employed,0.0,12.0,0,3,1,0.23,1,married,SPB,online,1,0.67,0
41,567,2024-02-21,2025-10-19,606,1251178.26,214783.97,12.82,60,9,1465962.23,135313.0,,39,72624.32,salaried,17.0,12.0,0,0,0,0.22,1,single,Moscow,online,1,1.44,0
42,244,2024-01-18,2025-10-19,640,1450669.62,264612.12,10.57,48,4,1715281.74,68732.0,Hyundai,34,110164.69,salaried,0.0,4.0,0,4,1,0.33,0,single,Yekaterinburg,dealer,1,1.1,0
43,505,2024-08-28,2025-10-19,417,932747.0,244646.09,11.02,36,8,1177393.09,118673.0,Toyota,28,64509.09,salaried,7.0,8.0,0,4,0,0.98,0,married,Other,dealer,1,1.2,0
44,131,2025-02-15,2025-10-19,246,502584.1,62098.57,14.87,48,1,564682.67,21039.0,Hyundai,58,57967.13,salaried,15.0,7.0,0,0,0,0.44,0,married,Yekaterinburg,branch,0,0.72,0
45,485,2025-09-07,2025-10-19,42,1254159.25,178525.45,11.74,36,1,1432684.7,21536.0,,32,,salaried,17.0,,0,5,0,0.61,1,married,Other,online,0,0.65,0
46,647,2024-04-02,2025-10-19,565,1993071.48,403363.98,10.98,48,5,2396435.46,79278.0,,46,93500.6,self_employed,8.0,10.0,0,0,0,0.73,1,married,Other,branch,1,1.78,0
47,21,2024-05-16,2025-10-19,521,1139146.13,209805.56,11.48,48,9,1348951.69,130175.0,Toyota,47,94187.84,self_employed,11.0,5.0,0,2,0,0.77,0,single,Other,branch,1,1.01,0
48,167,2024-01-02,2025-10-19,656,1214074.63,268385.7,11.63,60,1,1482460.33,16795.0,Audi,49,94880.69,salaried,18.0,0.0,1,4,0,0.72,1,married,Moscow,online,1,1.07,0
49,274,2025-09-22,2025-10-19,27,1734649.09,362803.41,14.7,36,3,2097452.5,54792.0,Mercedes,35,115182.49,salaried,17.0,9.0,0,0,1,0.4,1,single,SPB,dealer,1,1.26,0
50,388,2024-02-23,2025-10-19,604,1377082.39,273820.55,12.69,48,5,1650902.94,65907.0,Volkswagen,21,90195.25,self_employed,4.0,4.0,0,4,0,0.2,1,single,Moscow,online,1,1.27,0
51,601,2024-04-16,2025-10-19,551,1265058.31,249959.49,10.26,36,4,1515017.8,59062.0,Mercedes,63,100405.55,salaried,1.0,11.0,2,0,0,0.35,0,married,Kazan,online,1,1.05,0
52,316,2024-02-08,2025-10-19,619,1332635.0,229734.08,13.06,36,0,1562369.08,5812.0,Mercedes,48,53535.79,salaried,6.0,0.0,0,1,0,0.29,1,married,Other,online,0,2.07,0
53,14,2024-08-05,2025-10-19,440,1275073.18,259181.99,13.44,60,5,1534255.17,74423.0,Toyota,23,104598.09,salaried,9.0,6.0,0,2,0,0.22,1,married,Moscow,online,1,1.02,0
54,242,2024-03-17,2025-10-19,581,858073.67,215678.97,12.04,72,0,1073752.64,4049.0,Toyota,38,74080.99,salaried,14.0,9.0,0,0,2,0.12,1,married,Novosibirsk,branch,1,0.97,0
